Masks:0 SocialDist:0 LockDown:1 Vaccinations:0 Population:100000 Rebeliousness:1 InitialInfections:5 MinInfectionPeriod:11 AsymptomaticPeriod:3 
0,5,5
1,57,57
2,677,677
3,7128,7128
4,27422,27422
5,30832,30832
6,31276,31276
7,31317,31317
8,31331,31331
9,31345,31345
10,31443,31443
11,31905,31908
12,32173,32210
13,31919,32292
14,28604,32298
15,16768,32301
16,9186,32302
17,5067,32302
18,3067,32302
19,2034,32303
20,1488,32303
21,1160,32303
22,759,32303
23,441,32303
24,231,32303
25,116,32303
26,66,32305
27,45,32319
28,185,32472
29,1924,34218
30,16154,48454
31,29844,62145
32,30736,63038
33,31030,63333
34,31084,63387
35,31121,63424
36,31184,63487
37,31598,63903
38,32200,64516
39,32184,64580
40,31286,64593
41,23837,64598
42,13149,64601
43,7352,64602
44,4293,64602
45,2741,64602
46,1984,64602
47,1530,64602
48,1107,64603
49,587,64603
50,308,64603
51,166,64603
52,82,64603
53,40,64603
54,25,64612
55,117,64710
56,1265,65860
57,12290,76889
58,29561,94161
59,30670,95272
60,30983,95585
61,31066,95668
62,31095,95697
63,31146,95748
64,31503,96105
65,32227,96831
66,32229,96891
67,31636,96898
68,25843,96900
69,14223,96901
70,7896,96901
71,4611,96901
72,2943,96902
73,2077,96902
74,1621,96902
75,1228,96902
76,662,96902
77,345,96902
78,191,96902
79,98,96902
80,57,96911
81,106,96985
82,904,97799
83,8938,105835
84,27996,124896
85,30114,127016
86,30620,127522
87,30799,127701
88,30877,127779
89,30953,127855
90,31256,128158
91,32094,129000
92,32214,129157
93,31789,129184
94,27517,129200
95,15829,129201
96,8976,129201
97,5388,129202
98,3415,129202
99,2401,129202
